Time_microseconds,Electron_Count,Input_Energy_J,Inelastic_Energy_Transfer_J,Elastic_Energy_Transfer_J,Total_Energy_Transfer_J,Efficiency_percent
0.000829,82900,0.80109,0.7113679199999999,0.0021930782222069514,0.7135609982222069,89.07376177738077
0.0008299999999999999,83000,0.80109,0.7402071600000001,0.002187746262531689,0.7423949062625318,92.67309618927823
0.000831,83100,0.80109,0.7137711900000001,0.002194778310476226,0.7159659683104763,89.37397399920472
0.000832,83200,0.80109,0.71857773,0.0021969424815725578,0.7207746724815726,89.97424415260377
0.000833,83300,0.80109,0.73780389,0.002201839248253246,0.7400057292482533,92.37485541554925
0.000834,83400,0.80109,0.7113679199999999,0.002201436801782688,0.7135693568017826,89.07480517814473
0.000835,83500,0.80109,0.74020716,0.0022052088646131525,0.7424123688646131,92.67527604436764
0.000836,83600,0.80109,0.6921417599999999,0.0022062812660352295,0.6943480412660352,86.675409912363
0.0008370000000000001,83700,0.80109,0.7113679199999999,0.0022103688869103016,0.7135782888869102,89.07592016961455
0.000838,83800,0.80109,0.7329973499999999,0.0022134461050363494,0.7352107961050363,91.77630429852992
0.000839,83900,0.80109,0.7498202399999998,0.0022151123576380004,0.7520353523576379,93.8765122966614
0.0008399999999999999,84000,0.80109,0.7233842699999998,0.0022159873494092958,0.7256002573494091,90.57662152186019
0.0008410000000000001,84100,0.80109,0.7161744599999998,0.002218276864317846,0.7183927368643177,89.67690732179767
0.000842,84200,0.80109,0.7185777299999999,0.0022230414087826456,0.7208007714087825,89.97750207958634
0.000843,84300,0.80109,0.7185777300000001,0.002228568756596874,0.720806298756597,89.97819205783219
0.0008439999999999999,84400,0.80109,0.7065613800000001,0.0022293629931144222,0.7087907429931145,88.47829120232842
0.000845,84500,0.80109,0.7378038900000002,0.0022330349332500368,0.7400369249332502,92.37874957040032
0.000846,84600,0.80109,0.70896465,0.002226277909511502,0.7111909279095114,88.77790609171731
0.000847,84700,0.80109,0.70656138,0.0022345586624722123,0.7087959386624723,88.47893977732915
0.0008479999999999999,84800,0.80109,0.7281908100000001,0.002240477186707434,0.7304312871867075,91.17967858618795
0.000849,84900,0.80109,0.7281908100000001,0.0022427720247338995,0.730433582024734,91.17996505073631
0.0008500000000000001,85000,0.80109,0.74261043,0.002241392392700695,0.7448518223927008,92.97979283142091
0.0008510000000000001,85100,0.80109,0.70896465,0.0022458859571777663,0.7112105359571778,88.78035376256412
0.000852,85200,0.80109,0.7233842699999999,0.0022449901209736466,0.7256292601209736,90.58024193542713
0.000853,85300,0.80109,0.7041581100000001,0.0022514409608948463,0.7064095509608949,88.1810471933647
0.0008539999999999999,85400,0.80109,0.7017548399999998,0.0022557881130366567,0.7040106281130364,87.88158984799931
0.0008550000000000001,85500,0.80109,0.72819081,0.002257577077514061,0.730448387077514,91.18181316420174
0.000856,85600,0.80109,0.73299735,0.0022616981647770548,0.735259048164777,91.78232759927877
0.000857,85700,0.80109,0.7305940799999999,0.002260376306848089,0.732854456306848,91.48216259184304
0.0008579999999999999,85800,0.80109,0.7065613799999999,0.0022670717077203258,0.7088284517077202,88.48299837810696
0.000859,85900,0.80109,0.7354006199999998,0.002264655308802199,0.737665275308802,92.08269673933701
0.00086,86000,0.80109,0.7209809999999999,0.0022688142842911796,0.723249814284291,90.28321590382076
0.000861,86100,0.80109,0.7281908099999999,0.0022663397784663795,0.7304571497784662,91.18290701150069
0.0008619999999999999,86200,0.80109,0.7426104299999998,0.0022739015181353355,0.7448843315181352,92.98385094287515
0.000863,86300,0.80109,0.7065613800000001,0.002275023696565985,0.7088364036965661,88.4839910242664
0.000864,86400,0.80109,0.7161744600000002,0.0022820887331006655,0.7184565487331008,89.68487295219944
0.0008650000000000001,86500,0.80109,0.7017548400000002,0.002286459766847211,0.7040412997668474,87.88541858806639
0.0008660000000000001,86600,0.80109,0.7450137,0.00228864288058348,0.7473023428805835,93.28569110589014
0.000867,86700,0.80109,0.7257875400000001,0.002288705606108253,0.7280762456061084,90.88569893597341
0.0008680000000000001,86800,0.80109,0.7041581100000001,0.002293259246078167,0.7064513692460782,88.18626736654795
0.000869,86900,0.80109,0.7161744600000001,0.002295297533819678,0.7184697575338197,89.68652180572872
0.0008700000000000001,87000,0.80109,0.7257875400000001,0.0022966793511225744,0.7280842193511227,90.88669429787866
